hash_transaction,time,indegree,outdegree,in_btc,out_btc,total_in,total_out,mean_in_btc,mean_out_btc,senders,receivers,fee_btc,unique_senders,unique_receivers,is_self_churn,sender_entropy,receiver_entropy,hour,day_of_week,total_btc,anomaly
b04b71e40e6ca4785ddfbd281136a0516059b0816b3d486ba4fcf9f7e9032926,2025-08-27 13:58:26,1.0,7.0,[0.0],"[5.46e-06, 3.18507404, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,3.1850795,4.440892098500626e-16,0.4550113571428571,[],"['3Eif1JfqeMERRsQHtvGEacNN9hhuvnsfe9', '3Awm3FNpmwrbvAFVThRUFqgpbVuqWisni9']",-3.1850795,0,2,False,0.0,1.0,13,Wednesday,3.1850795000000014,0
75cadf3a934982e540ecb5bc0c3bf8cf4336f1475b920dce22c5b3bb88a4991b,2025-08-27 13:58:26,3.0,1.0,"[33.7842765, 98.68177598, 288.80501252]",[421.270065],421.271065,421.27006500000005,140.42368833333333,421.270065,"['1ABwNuymdDWtSJYUbdJKMdgd3JTgLQx9LC', '1ABwNuymdDWtSJYUbdJKMdgd3JTgLQx9LC', '1ABwNuymdDWtSJYUbdJKMdgd3JTgLQx9LC']",['3MqUP6G1daVS5YTD8fz3QgwjZortWwxXFd'],0.001,1,1,False,0.0,1.1102230246251565e-16,13,Wednesday,842.5411300000001,1
3898b76379c8eaeec62416b6b8065e649192f590e373087a3922ced374104e92,2025-08-27 13:58:26,1.0,2.0,[0.01023954],"[0.00459135, 0.00554949]",0.010239539999999714,0.01014084000000004,0.010239540000000158,0.00507042000000002,['bc1qjlg095hjzmp4hgls9j3ccv3kkj8uv3zv7wtf03'],"['bc1qp5la35u53l9v22p3fdmyf4u75s7kt5y3nvearr', 'bc1qsephrj73nlkca9e0k04vcer2pspf6txceh838e']",9.87e-05,1,2,False,0.0,1.0,13,Wednesday,0.020380380000000642,0
0bbcfb1316bc1addfe387e875027f72a626ccb8fa67f6bceb27a72d51f701661,2025-08-27 13:56:34,1.0,8.000000000000002,[0.03467014],"[0.00026899, 0.0043298, 0.00086129, 0.00270737, 0.016095, 0.00184727, 0.00036979, 0.00798063]",0.03467014000000024,0.034460140000000195,0.034670139999999794,0.004307517500000024,['bc1q7jwr90fsjgfgqqfekdmctt5anjla3fasxd0pdljwv0tm7pyrpumq08g0fr'],"['bc1pmxx69tw2dn6cfqczrajyn7hrk56jghnpf8zg9ruq88mfzurlavnqnxajy5', 'bc1p8lkxas3fcx2aqyek5ae93g0e4znul8q9ryzfp8fe86nne42g6unss3euy4', 'bc1qklgz8t37heasne9qhnpcjlev5sz3u3etckgdve', 'bc1q2nvcn4rur6g5aa50ump6yeq70yggk6h3vzmfxn', 'bc1qhq7g830yupxrdjlf0wfc2y9kk0tuea067w5qh8', 'bc1qf4swjqecvaz8fnzaa8ehqr5p0c5u4g6qwd98yg', 'bc1qu6f9yk209nrm230y3aad5jamnnujuwu96xg0jh', 'bc1quhruqrghgcca950rvhtrg7cpd7u8k6svpzgzmrjy8xyukacl5lkq0r8l2d']",0.00021,1,8,False,0.0,3.0,13,Wednesday,0.06913027999999954,0
7bc9c8a6257b9da09c10c22014e4b99212bcd5e23f73ce61b6fc127655d9befd,2025-08-27 13:56:58,1.0,1.0,[0.17228678],[0.17223826],0.1722867800000003,0.1722382600000003,0.17228677999999986,0.1722382600000003,['bc1q00wx9kn40k4s3u9a4kwk4gwnk7x6j4cx6xg9wz'],['bc1qjn67wt5jy4s4c3ydj6q0qad2uraa6e4nefs6k2'],4.852e-05,1,1,False,0.0,1.1102230246251565e-16,13,Wednesday,0.3445250400000006,0
d8bb64f107f166ea61df434e9b5983fa535878b3b13f8c98923ca11f7b1551dd,2025-08-27 13:58:26,1.0,2.0,[0.04224366],"[0.03, 0.01220106]",0.04224365999999957,0.04220106000000001,0.042243660000000016,0.021100530000000006,['bc1qwxxhm7jpzm2lhk9mnsn9wsx4q6khznrtxr6w04'],"['3JgTebzCcMxRHpiGXwtGUgc69FX2ExpPsS', 'bc1qwxxhm7jpzm2lhk9mnsn9wsx4q6khznrtxr6w04']",4.26e-05,1,2,False,0.0,1.0,13,Wednesday,0.08444472000000047,0
228d7ef7c77140f573826a3c19fe88f968d5d181112f30f955f6578e085d7bb2,2025-08-27 13:58:26,1.0,1.0,[0.00032809],[0.00027809],0.0003280900000000031,0.00027809000000011963,0.0003280900000000031,0.00027809000000011963,['1MCkatuQGZgA992GmfXyj8b9sLbEHknTso'],['1Ny9toPUCkeidGzHBSjq1NJ9GzwS1UWybB'],5e-05,1,1,False,0.0,1.1102230246251565e-16,13,Wednesday,0.0006061800000001227,0
eaf59a3eed26cce7798b2d7e18e7bde8d97f3396df0d5d094ea968ab38e1a6ed,2025-08-27 13:56:30,1.0,2.0,[7.80596341],"[0.05997, 7.74596341]",7.80596341,7.80593341,7.80596341,3.902966705,['bc1qr9sa5dcerueqzewtja0pcge307emax7jxctcas'],"['3HMcqLwHDsMasAAdfeA7MpNLtkui1oBJ24', 'bc1qr9sa5dcerueqzewtja0pcge307emax7jxctcas']",3e-05,1,2,False,0.0,1.0,13,Wednesday,15.61189682,0
43a7c3f935cc5c09ed38c82b013248358283fd65749f23ddda66df4b84ce6245,2025-08-27 13:58:26,2.0,2.0,"[0.104095, 0.15402915]","[0.00586871, 0.25218124]",0.25812414999999955,0.2580499500000002,0.12906207500000022,0.1290249750000001,"['1NVXX2MRQh7yrad3g27EJGxSVEE3Mn9wkt', '1NVXX2MRQh7yrad3g27EJGxSVEE3Mn9wkt']","['bc1q9f2a948ws7y7ayuwk48frsgnz8qjj5e3nz6en0', '1NVXX2MRQh7yrad3g27EJGxSVEE3Mn9wkt']",7.42e-05,1,2,False,0.0,1.0,13,Wednesday,0.5161741000000006,0
19995b45116b79e73ec5ec303c318882d56e6cfbddda5ba8ac44cbfe47fbf865,2025-08-27 13:58:26,1.0,2.0,[0.31090502],"[0.21852182, 0.092355]",0.31090501999999987,0.31087681999999983,0.31090501999999987,0.15543841000000014,['bc1q78pap43cw7cgazmfvjy473cswf3yyqu75n7v98'],"['bc1qapj992thuzl72kfd9tele3fnn2nappukg2wk8s', 'bc1qf5zn5ntemnwws03rjljg8qwm4z9al0u03h85r3']",2.82e-05,1,2,False,0.0,1.0,13,Wednesday,0.6217818400000006,0
